Strategy,Return,Vol,Sharpe,MaxDD
VIX Rule,15.810524233334583,9.317238849113053,1.6969109077674498,-28.158858362015316
Static EW,8.094781159530225,5.258955803184106,1.5392373433960271,-11.327688052908147
ML Tactical,9.186489786106025,6.655889595756394,1.3802046524273883,-21.879227452619464
BAB Factor,16.631529215095885,14.2811686972213,1.1645776033954347,-28.287610946793585
Market Index,8.023726259397037,20.382109261143956,0.3936651578398369,-64.85802098174318
